EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_t8,VQ_COLOR_CALLS
1513761426282,-1,-1,2,2,2,2,2,2,1
1513763282172,-1,-1,-1,-1,2,2,2,2,0
1513769349999,-1,-1,2,2,2,2,2,2,1
1513769385542,-1,-1,2,2,2,2,2,2,1
1513774593715,-1,-1,2,2,2,2,2,2,1
1513777790334,-1,-1,-1,-1,-1,-1,2,2,0
1513777943866,-1,-1,2,2,2,2,2,2,1
1513778643423,-1,-1,2,2,2,2,1,0,1
1513780445117,-1,-1,2,2,2,2,2,2,1
1513780502053,-1,-1,2,2,2,2,2,2,1
1513780578376,-1,-1,2,2,2,2,2,2,1
1513780626909,-1,-1,2,2,2,2,2,2,1
1513780649792,-1,-1,2,2,2,2,2,2,1
1513780756914,-1,-1,2,2,2,2,2,2,1
1513780860325,-1,-1,2,2,2,2,2,2,1
1513781022615,-1,-1,2,2,2,2,2,2,0
1513784387563,-1,-1,-1,-1,-1,-1,-1,3,0
1513787626170,-1,-1,2,2,2,2,2,2,1
1513787642678,-1,-1,2,2,2,2,2,2,1
1513787706462,-1,-1,2,2,2,2,2,2,0
1513838286159,-1,-1,2,2,2,2,2,2,1
1513838826177,-1,-1,2,2,2,2,2,2,1
1513839724123,-1,-1,2,2,2,2,2,2,1
1513840061130,-1,-1,2,2,2,2,2,2,1
1513842606710,-1,-1,2,2,2,2,2,2,1
1513843366871,-1,-1,3,2,3,2,2,2,1
1513843381252,-1,-1,2,2,2,2,2,2,1
1513845946767,-1,-1,2,2,2,2,2,2,1
1513848232875,-1,-1,2,2,2,2,2,2,1
1513850935563,-1,-1,2,2,2,2,2,2,1
1513851937636,-1,-1,2,3,3,2,2,2,0
1513854482867,-1,-1,2,2,2,2,2,2,1
1513854757178,-1,-1,-1,-1,-1,-1,2,2,0
1513856626951,-1,-1,2,2,2,2,2,2,1
1513857489667,-1,-1,2,2,2,2,2,2,1
1513863001658,-1,-1,2,2,2,2,2,2,1
1513863131860,-1,-1,2,2,2,2,2,2,1
1513863807631,-1,-1,2,2,2,2,2,2,1
1513865502006,-1,-1,2,2,2,2,2,2,1
1513865557492,-1,-1,2,2,2,2,2,2,1
1513865586560,-1,-1,2,2,2,2,2,2,1
1513865658145,-1,-1,2,2,2,2,2,2,1
1513865843109,-1,-1,2,2,2,2,2,2,0
1513865913352,-1,-1,2,2,2,2,2,2,0
1513869408930,-1,-1,3,2,2,2,2,2,1
1513876152293,-1,-1,2,2,2,2,2,1,0
1513937875976,-1,-1,-1,-1,2,2,2,2,1
1513938161218,-1,-1,2,2,2,2,2,2,1
1513956051537,-1,-1,3,2,2,2,2,2,1
1514100635135,-1,-1,-1,-1,2,2,2,2,1
1514104860406,-1,-1,2,2,2,2,2,2,1
1514106540729,-1,2,2,-1,2,2,2,2,1
1514107446421,-1,-1,3,2,3,2,2,2,1
1514107821278,-1,-1,2,2,2,2,2,2,1
1514118737755,-1,-1,3,-1,3,2,2,2,1
1514126291030,-1,-1,3,2,2,2,2,2,1
1514184739138,-1,-1,2,2,2,2,2,2,1
1514188126591,-1,-1,2,2,2,2,2,2,1
1514189707247,-1,-1,2,3,3,2,3,2,0
1514190051921,-1,-1,2,2,2,2,2,2,1
1514190244168,-1,-1,2,-1,2,2,2,2,1
1514190806418,-1,-1,2,2,2,2,2,2,0
1514191215580,-1,-1,2,2,2,2,2,2,1
1514192545890,-1,-1,2,-1,-1,2,-1,2,1
1514192573028,-1,-1,-1,-1,-1,-1,-1,-1,1
1514193321253,-1,-1,2,2,2,2,2,2,1
1514193514607,-1,-1,-1,-1,-1,-1,3,2,0
1514193729666,-1,-1,2,2,2,2,2,2,1
1514194913682,-1,2,2,-1,3,-1,2,2,1
1514195427505,-1,-1,2,2,2,2,2,2,1
1514196723756,-1,-1,2,2,2,2,2,2,0
1514197795337,-1,-1,-1,-1,2,2,2,2,1
1514204252238,-1,-1,2,2,2,0,0,2,0
1514204512773,-1,2,2,-1,2,2,2,3,0
1514210712961,-1,2,2,-1,2,2,2,2,1
1514212260509,-1,-1,2,2,2,2,2,2,1
1514221140607,-1,-1,2,2,2,2,2,2,1
1514222180451,-1,-1,3,3,-1,2,2,2,1
1514275982594,-1,-1,-1,-1,2,2,2,2,1
1514280056279,-1,-1,-1,-1,-1,2,2,2,1
1514285700132,-1,-1,-1,-1,3,-1,2,0,1
1514287486037,-1,-1,2,2,2,2,2,2,1
1514294023598,-1,-1,-1,2,2,2,2,-1,0
1514296416906,-1,-1,-1,-1,-1,-1,2,2,1
1514359863843,-1,-1,2,2,2,2,2,2,1
1514361055921,-1,-1,-1,-1,2,3,2,2,1
1514365511843,-1,-1,2,2,2,2,2,2,1
1514367246319,-1,-1,-1,-1,-1,-1,2,2,0
1514370205584,-1,-1,-1,-1,-1,2,2,2,1
1514373277333,2,2,2,2,2,2,2,2,1
1514376269899,-1,-1,-1,-1,2,-1,2,2,0
1514376503211,-1,-1,2,2,2,2,2,2,0
1514376776363,-1,-1,2,2,-1,2,-1,3,0
1514378043996,-1,-1,2,2,2,2,2,2,0
1514378394519,-1,-1,-1,-1,2,2,2,2,0
1514378424006,-1,-1,2,2,2,2,2,2,0
1514378697708,-1,-1,-1,-1,-1,-1,3,-1,0
1514379026419,-1,-1,-1,-1,-1,-1,-1,2,0
1514379384454,-1,-1,2,2,-1,2,-1,3,0
1514379657807,-1,-1,-1,2,-1,2,-1,2,0
1514380958582,-1,-1,-1,-1,-1,0,2,0,1
1514382606533,-1,-1,3,3,3,-1,3,-1,1
1514385490802,-1,-1,-1,-1,2,2,2,2,1
1514385632324,-1,-1,2,2,2,2,2,2,1
1514387755383,-1,-1,-1,-1,-1,2,2,2,1
1514388039438,-1,-1,-1,-1,-1,-1,3,2,0
1514388274178,-1,-1,-1,-1,-1,-1,-1,-1,0
1514388547399,-1,-1,-1,-1,-1,-1,3,2,0
1514388782635,-1,-1,-1,-1,-1,-1,-1,3,0
1514388988801,-1,-1,-1,2,-1,2,2,3,0
1514389257107,-1,-1,2,2,2,2,2,2,0
1514389596534,-1,-1,2,2,2,2,2,2,0
1514389949154,-1,-1,-1,2,-1,2,-1,2,0
1514390217326,-1,-1,-1,2,2,-1,2,-1,0
1514396342286,-1,-1,3,2,2,2,2,2,1
1514445371560,-1,-1,-1,-1,3,2,2,2,1
1514446678063,-1,-1,-1,-1,2,2,2,2,0
1514447131929,-1,-1,-1,-1,-1,0,2,1,1
1514448068126,-1,-1,-1,-1,-1,-1,-1,3,0
1514448533913,-1,-1,-1,-1,-1,-1,-1,3,0
1514448806781,-1,-1,-1,2,2,2,2,2,0
1514450183876,-1,-1,-1,-1,-1,2,2,2,1
1514450674254,-1,-1,-1,-1,-1,-1,2,2,0
1514450947068,-1,-1,-1,-1,-1,-1,2,-1,0
