EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_t2,VQ_COLOR_t3,VQ_COLOR_t4,VQ_COLOR_t5,VQ_COLOR_t6,VQ_COLOR_t7,VQ_COLOR_CALLS
1518608926258,3,3,2,2,2,2,3,3
1518608930866,3,3,3,2,2,2,2,3
1518608967962,3,3,3,3,1,2,2,2
1518608974252,3,3,3,3,2,2,2,2
1518609058906,3,3,3,3,0,2,2,2
1518609060986,3,3,3,3,3,2,2,3
1518609084197,3,3,3,3,2,3,0,2
1518609095789,3,3,3,3,3,2,2,2
1518609144026,3,3,3,3,3,3,2,2
1518609197127,3,3,3,3,3,3,2,2
1518609227825,3,3,3,3,2,2,2,2
1518609291142,3,3,3,3,3,3,2,2
1518609292468,3,3,3,3,3,2,2,2
1518609309044,3,3,3,3,2,2,2,3
1518609318066,3,3,2,2,2,2,3,3
1518609325450,3,3,2,2,2,2,3,3
1518609334527,3,3,2,2,2,2,3,3
1518609336508,3,3,3,3,3,3,3,3
1518609363728,3,3,3,2,3,3,2,2
1518609373949,3,3,3,3,2,2,2,2
1518609409484,3,3,3,3,2,2,2,3
1518609447315,3,3,3,2,2,2,2,3
1518609489403,3,3,3,3,2,2,2,2
1518609591728,3,3,3,3,2,2,2,2
1518609600456,3,3,3,3,2,2,2,2
1518609616797,3,3,3,3,2,2,3,2
1518609629163,3,3,3,3,3,2,2,2
1518609650401,3,3,3,2,2,2,2,3
1518609663831,3,3,2,2,2,2,3,3
1518609694532,3,3,3,3,3,3,3,2
1518609727728,3,3,3,3,2,2,2,2
1518609743997,3,3,3,3,2,2,3,2
1518609920886,3,3,3,2,2,2,2,3
1518609957643,3,3,3,2,3,2,2,2
1518609983988,3,3,3,3,3,0,2,2
1518609998108,3,3,3,3,3,2,2,2
1518610007034,3,3,3,3,2,2,2,3
1518610013201,3,3,3,3,3,3,2,2
1518610056300,3,3,3,3,3,2,2,2
1518610066287,3,3,3,3,2,2,2,3
1518610067339,3,3,3,2,2,2,2,2
1518610097909,3,3,3,3,2,2,2,2
1518610125048,3,3,3,2,3,2,2,2
1518610151209,3,3,3,3,2,2,2,2
1518610159555,3,3,3,2,2,3,2,3
1518610189658,3,3,3,3,2,2,2,3
1518610194856,3,3,2,3,2,3,2,2
1518610229337,3,3,3,3,2,2,2,2
1518610234168,3,3,3,3,3,3,2,2
1518610247654,3,3,3,3,2,2,2,2
1518610283492,3,3,3,3,3,3,3,2
1518610310337,3,3,3,3,2,2,2,2
1518610338240,3,3,3,3,3,3,3,2
1518610339316,3,3,3,3,3,2,2,2
1518610353490,3,3,3,3,3,2,3,2
1518610362759,3,3,3,3,2,2,2,2
1518610434114,3,3,3,3,3,3,3,2
1518610435236,3,3,3,0,0,3,0,2
1518610518944,3,3,2,3,2,2,2,2
1518610533553,3,3,3,3,2,2,2,2
1518610534350,3,3,3,3,2,2,2,2
1518610549300,3,3,2,2,2,3,2,3
1518610557207,3,3,3,3,3,3,2,2
1518610562089,3,3,3,3,3,2,2,3
1518610581482,3,3,3,2,2,3,2,3
1518610587318,3,3,1,3,2,2,2,2
