EMS_CALL_IDENTIFIER,VQ_COLOR_t1,VQ_COLOR_CALLS
1516271105405,3,2
1516271108560,3,2
1516271113781,3,3
1516271121935,3,2
1516271145686,3,3
1516271146856,3,3
1516271151454,3,3
1516271177463,3,3
1516271195176,3,2
1516271208932,3,3
1516271214099,3,2
1516271283089,3,3
1516271326522,3,2
1516271328766,3,2
1516271358407,3,2
1516271386042,3,2
1516271395471,3,3
1516271398433,3,2
1516271423053,3,2
1516271433360,3,2
1516271433618,3,3
1516271456044,3,3
1516271475786,3,2
1516271501570,3,3
1516271527673,3,2
1516271559417,3,3
1516271562010,3,2
1516271565401,3,3
1516271610461,3,3
1516271626070,3,2
1516271641489,3,3
1516271672608,3,2
1516271723104,3,2
1516271724334,3,2
1516271909038,3,2
1516271957409,3,3
1516271978895,3,2
1516272003893,3,3
1516272107629,3,2
1516272167153,3,2
1516272280822,3,3
1516272304397,3,2
1516272308757,3,3
1516272314477,3,2
1516272332894,3,2
1516272334108,3,2
1516272391292,3,3
1516272429661,3,3
1516272440866,3,3
1516272513841,3,3
1516272515556,3,2
1516272516664,3,2
1516272551468,3,2
1516272555434,3,2
1516272556575,3,2
1516272585168,3,2
1516272594853,3,2
1516272596032,3,2
1516272628133,3,2
1516272632081,3,2
1516272675205,3,2
1516272697721,3,2
1516272718851,3,3
1516272727797,3,2
1516272728883,3,2
1516272730545,3,2
1516272732328,3,2
1516272738302,3,2
1516272745079,3,2
1516272751591,3,2
1516272790429,3,2
1516272838237,3,2
1516272839334,3,2
1516272845390,3,2
1516272857349,3,3
1516272889544,3,2
1516272909285,3,3
1516272930604,3,3
1516272986788,3,2
1516273002798,3,3
1516273007388,3,3
1516273036116,3,3
1516273040178,3,3
1516273042960,3,2
1516273062229,3,3
1516273086161,3,3
1516273093651,3,2
1516273094789,3,3
1516273116811,3,3
1516273131774,3,2
1516273135634,3,2
1516273136788,3,2
1516273152566,3,2
1516273159799,3,3
1516273160942,3,3
1516273171147,2,2
1516273176051,3,3
1516273176817,3,3
1516273177184,3,3
1516273189876,3,3
1516273189915,3,2
1516273190992,3,3
1516273246250,3,2
1516273260672,3,2
1516273292587,3,2
1516273303575,3,2
1516273402433,3,3
1516273426019,3,2
1516273437090,3,2
1516273498651,3,2
1516273499803,3,2
1516273513497,3,3
1516273544099,3,2
1516273606821,3,2
1516273607942,3,2
1516273611305,3,3
1516273617842,3,3
1516273634604,3,2
1516273637101,3,3
1516273647014,3,3
1516273689864,3,2
1516273737695,3,3
1516273756257,3,3
1516273822489,3,3
1516273832840,3,2
1516273832960,3,2
1516273834013,3,2
1516273837038,3,3
1516273847552,3,3
1516273847633,3,2
1516273848336,3,2
1516273852909,3,2
1516273854083,3,2
1516273870117,3,2
1516273883989,3,2
1516273892305,3,2
1516273917487,3,3
1516273938394,3,3
1516273942206,3,2
1516273955621,3,2
1516273962292,3,3
1516274014852,3,3
1516274015654,3,3
1516274018471,3,3
1516274034489,3,2
1516274037271,3,2
1516274071467,3,2
1516274078451,3,3
1516274097137,3,2
1516274114386,3,3
1516274121374,3,3
1516274133577,3,2
1516274155024,3,2
1516274191271,3,2
1516274204249,3,3
1516274229034,3,2
1516274243946,3,2
1516274251661,3,2
1516274261614,3,2
1516274261855,3,3
1516274264803,3,3
1516274290481,3,2
1516274315271,3,2
1516274370026,3,3
1516274402609,3,2
1516274408497,3,3
1516274454517,3,2
1516274469228,3,2
1516274491490,3,3
1516274507236,3,2
1516274531185,3,2
1516274618461,3,3
1516274621813,3,3
1516274643633,3,2
1516274657700,3,3
1516274692358,3,3
1516274765827,3,2
1516274785740,3,3
1516274846203,3,2
1516274847307,3,2
1516274869636,3,2
1516274929115,3,2
1516274975877,3,2
1516274979506,3,3
1516274987276,3,3
1516274993090,3,2
1516275050062,3,1
1516275108375,3,2
1516275113372,3,2
1516275114590,3,2
1516275120993,3,2
1516275141546,3,2
1516275144545,3,3
1516275157083,3,3
1516275194668,3,2
1516275195087,3,2
1516275274888,3,2
1516275326719,3,3
1516275341337,3,3
1516275353036,3,2
1516275353692,3,2
1516275379038,3,3
1516275387742,3,2
1516275391109,3,3
1516275407335,3,2
1516275432868,3,2
1516275442195,3,3
1516275449973,3,2
1516275473860,3,2
1516275500379,3,2
1516275513973,3,2
1516275520990,3,2
1516275537679,3,3
1516275584075,3,3
1516275602748,3,2
1516275612787,3,2
1516275634416,3,2
1516275643904,3,3
1516275664516,3,3
1516275672494,3,2
1516275701637,3,2
1516275705138,3,2
1516275750999,3,2
1516275770561,3,2
1516275791889,3,2
1516275795973,3,2
1516275799143,3,2
1516275807840,3,2
1516275814803,3,2
1516275826432,3,2
1516275869267,3,3
1516275922002,3,3
1516275922331,3,3
1516275950017,3,2
1516275950390,3,2
1516275950925,3,2
1516275955384,3,2
1516275976937,3,2
1516275981060,3,2
1516276006342,3,2
1516276030951,3,2
1516276050336,3,2
1516276061192,3,2
1516276070297,3,3
1516276099388,3,3
1516276103528,3,3
1516276109381,3,2
1516276110454,3,2
